AXIS	SAKU_SEMANTIC_MEANING	CHARACTER_DIGEST_EFFECT	RENDERER_TARGET	PHYSICAL_IMPLEMENTATION_OWNER	END_TO_END_MAPPING
a_motif	Recurring expressive motif preference	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	presentation.motif_token	PRESENTATION_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PRESENTATION_TOKEN
b_companion_domain	Preferred companion relationship/domain framing	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.companion_domain_guidance	PROMPT_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_GUIDANCE
c_intelligence_vector	Reasoning emphasis tendency; not verified competence	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.cognitive_tendency	PROMPT_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_GUIDANCE
d_socratic_angle	Preferred questioning and perspective-shift strategy	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.questioning_strategy	PROMPT_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_GUIDANCE
e_vocabulary_tone	Lexical and tonal expression preference	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.vocabulary_tone	PROMPT_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_GUIDANCE
f_acknowledgement	Preferred acknowledgement expression and response posture	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.acknowledgement_style	PROMPT_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_GUIDANCE
g_pulse	Response-rhythm metaphor; not a literal wait command	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	presentation.response_rhythm	PRESENTATION_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PRESENTATION_RHYTHM
h_tactile	Tactile metaphor for expression; not a physical haptic resource	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	presentation.tactile_metaphor	PRESENTATION_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PRESENTATION_TOKEN
i_thinking_pause_ms	Pacing/presentation preference retained losslessly; not LLM thinking time or a sleep command	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	presentation.pacing_timing_hint	PRESENTATION_RENDERER_OR_AMU_RUNTIME	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_BOUNDED_PRESENTATION_TIMING_HINT
j_theme_color	Semantic visual color tendency; not a physical color asset	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	presentation.theme_color_token	PRESENTATION_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PRESENTATION_COLOR_TOKEN
k_whitespace_percent	Preferred whitespace density for presentation	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	presentation.layout_whitespace	PRESENTATION_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_LAYOUT_CONSTRAINT
l_weathering_presentation	Visual weathering metaphor only; never memory deletion or retention	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	presentation.weathering_visual	PRESENTATION_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_VISUAL_EFFECT_TOKEN
m_error_narrative	Narrative style for explaining errors; not correctness or retry policy	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.error_narration_style	PROMPT_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_GUIDANCE
n_crystallization	Preferred synthesis and conclusion pattern	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.synthesis_pattern	PROMPT_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_GUIDANCE
o_closing	Semantic closing expression; physical animation remains external	VALUE_CHANGE_REQUIRES_CHARACTER_REVISION_AND_DIGEST_CHANGE	prompt.closing_expression + presentation.closing_animation	PROMPT_RENDERER_AND_PRESENTATION_RENDERER	CHARACTER_AXIS_TO_GENERIC_PROFILE_TO_PROMPT_AND_PRESENTATION_TOKENS
